% Model:              FCC-ee, Allegro, MM, 4.5 m, 2 layers, 5 modules, stray magnetic field evaluation, 22-4-26.mph
% Version:            COMSOL 6.3.0.335
% Date:               Apr 24 2026, 15:19
% Dimension:          2
% Nodes:              6561
% Expressions:        2
% Description:        Magnetic flux density, r-component, Magnetic flux density, z-component
% Length unit:        m
% r                       z                        mf.Br (T)                mf.Bz (T)
1.2000000000000002        0.2                      0.031868154887328595     2.1077655313826074
1.3                       0.2                      0.03456113576483267      2.124391911928414
1.4000000000000001        0.2                      0.03722974444802581      2.1423692912603682
1.5                       0.2                      0.039859634128504975     2.1616834624583094
1.6                       0.2                      0.04243475926406004      2.182311886533545
1.7000000000000002        0.2                      0.04493868826099328      2.204222340166097
1.8                       0.2                      0.0473573371369973       2.2273718522692265
1.9000000000000001        0.2                      0.049684441557321705     2.2517062633385
2                         0.2                      0.05193234160810567      2.2771610242873406
2.1                       0.2                      0.054152738362044636     2.303665144377255
2.2                       0.2                      0.05647604176221515      2.3311520648704342
2.3000000000000003        0.2                      0.05918448299844514      2.359589011930923
2.4000000000000004        0.2                      0.0628494173115568       2.3890528157247015
2.5                       0.2                      0.06850735966333446      2.4199158968479026
2.6                       0.2                      0.07891090142030666      2.4529106273762338
2.7                       0.2                      0.09532292932046059      2.491908906143042
2.8000000000000003        0.2                      0.11742002580878412      2.545325147341997
2.9000000000000004        0.2                      0.43679344545361         1.2063378994970082
3                         0.2                      0.12009683167354979      -0.33545713579527114
3.1                       0.2                      0.09625010874731427      -0.27857835022629795
3.2                       0.2                      0.07765611429128683      -2.311484810029043
3.3000000000000003        0.2                      0.06498396529932676      -0.22527995362407416
3.4000000000000004        0.2                      0.056269352325891885     -2.280221949620594
3.5                       0.2                      0.049831645951573675     -2.2691366248206544
3.6                       0.2                      0.04495448681124958      -0.18275823610786623
3.7                       0.2                      0.04087170973282018      -2.2452546499278316
3.8000000000000003        0.2                      0.037405403762550235     -2.232739809753908
3.9000000000000004        0.2                      0.03420426706526879      -0.15364014300950235
4                         0.2                      0.031291332607452205     -2.2135190182523417
4.1000000000000005        0.2                      0.028470622691851688     -2.2063010228082085
4.2                       0.2                      0.025842679165670627     -0.1285193152911493
4.3                       0.2                      0.02324694456557606      -2.1904345169507926
4.4                       0.2                      0.020846152184400456     -2.182126899294077
4.5                       0.2                      0.018459423924532023     -0.11222513796754657
4.6000000000000005        0.2                      0.016300591645614055     -2.1698346037373746
4.7                       0.2                      0.014405281185887322     -0.10086734920621851
4.800000000000001         0.2                      0.012840401562463539     -0.09417343392103639
4.9                       0.2                      0.0114129567957051       -0.08821503647170799
5                         0.2                      0.01023194675642003      -0.08292524494063996
5.1000000000000005        0.2                      0.009132012267194685     -0.07813559587993373
5.2                       0.2                      0.008115611324676855     -0.07387388448030116
5.300000000000001         0.2                      0.007374578431256091     -0.07007961685601045
5.4                       0.2                      0.0067879042479896045    -0.06650516513712061
5.5                       0.2                      0.006062724360483204     -0.06332140671644998
5.6000000000000005        0.2                      0.005559385388728231     -0.0605303167784431
5.7                       0.2                      0.00507370743352634      -0.057837159820716494
5.800000000000001         0.2                      0.004737163422685826     -0.05549970913048666
5.9                       0.2                      0.004394109460205149     -0.05317930113168351
6                         0.2                      0.0040232828755823085    -0.05112224726484789
6.1000000000000005        0.2                      0.00374007688316903      -0.04915596508022243
6.2                       0.2                      0.0035739647754282804    -0.04730420256658324
6.300000000000001         0.2                      0.0034131260679334937    -0.045511226164488
6.4                       0.2                      0.0032177869726911744    -0.043971066395056435
6.5                       0.2                      0.0029599595292054454    -0.04245658709811353
6.6000000000000005        0.2                      0.002842268606302995     -0.040888175331188624
6.7                       0.2                      0.002727168700933269     -0.03950219033288284
6.800000000000001         0.2                      0.0026154540868980206    -0.03815696959923307
6.9                       0.2                      0.002506977577617272     -0.03685074077090652
7                         0.2                      0.00249428767317699      -0.035774275434261975
7.1000000000000005        0.2                      0.002303568498786037     -0.034631851754793434
7.2                       0.2                      0.0021181470792391737    -0.03352116206642125
7.300000000000001         0.2                      0.0021326570917066336    -0.03227476777617036
7.4                       0.2                      0.002047471023583026     -0.03125969638665206
7.5                       0.2                      0.001964556583942671     -0.030271693567520797
7.6000000000000005        0.2                      0.0018838241032402047    -0.02930969082257722
7.7                       0.2                      0.0018051885700884015    -0.028372675161917885
7.800000000000001         0.2                      0.001728569332658482     -0.02745968554383961
7.9                       0.2                      0.0018001004521244399    -0.026875021814523906
8                         0.2                      0.001644008096019757     -0.026064443637135823
0                         0.30000000000000004      0.0011553067470139178    2.0033341001961653
0.1                       0.30000000000000004      0.0039507391363579475    2.007168931791829
0.2                       0.30000000000000004      0.007945551518474536     2.0090684082032806
0.30000000000000004       0.30000000000000004      0.011589730019057424     2.0122412457038856
0.4                       0.30000000000000004      0.01563130094278886      2.0167186416011864
0.5                       0.30000000000000004      0.019577775315314128     2.0227372524387413
0.6000000000000001        0.30000000000000004      0.023545060943913617     2.0299248079473613
0.7000000000000001        0.30000000000000004      0.027548611052733898     2.0384152166103418
0.8                       0.30000000000000004      0.031576707467898535     2.0482383696489843
0.9                       0.30000000000000004      0.035627477544273804     2.059409977656651
1                         0.30000000000000004      0.03969536615549574      2.071940119934365
1.1                       0.30000000000000004      0.04377308862918932      2.0858370920032314
